# Profile Smoothing is Disabled
#				total	Au_5+	Au_4+	Au_3+	Au_2+	Au+	Ag+	Ag_2+	Ag_3+	O+	Sn_2+	^124Sn+	^122Sn+	^116Sn+	^117Sn+	^118Sn+	^119Sn+	Sn+	Cs_5I_4+	Cs_4I_3+	Cs_3I_2+	Cs_2I_2+	Cs_2I+	CsI_2+	CsI+	Si+	C_5+	C_4+	C_3+	C_2+	C+	^13CC_25H_21N_2+	C_26H_21N_2+	C_26H_20N_2+	C_70+	C_60+	C_6H_4O+	CH_5O+	CH_4O+	C_6H_3+	C_6H_5+	Cs_2PO_2+	Cs_2PO_3+	PNI_2+	Cs_2+	Cs+	C_2H_6N_2H_6+	^13CH_3NH_3+	CH_3NH_3+	^13CH_5N_2+	CH_5N_2+	C_2H_10N_4I+	Pb_3+	Pb_2+	^204Pb+	^206Pb+	^207Pb+	Pb+	Cs_2F+	C_81H_68N_4O_8+	CH_3NH+	CH_3NH_2+	^13CH_3+	CH_3N_2+	CH_4N_2+	CH_2N+	CH_3N+	CH_4N+	NH_3+	CH_3+	Pb_3I_5+	Pb_3I_4+	Pb_3I_3+	Pb_3I_2+	Pb_3I+	Pb_2I_3+	Pb_2I_2+	Pb_2I+	^204PbI+	^206PbI+	^207PbI+	PbI+	SnO+	SnIn_2O_2+	SnIn_2O+	SnInO+	Sn_2O+	In_4O_3+	In_3O_2+	In_3O+	In_2O_2+	In_2O+	InO_2+	^113InIn+	In_2+	^113InO+	InO+	^113In+	In+	I+	^13CH_5N_2+ / ( Pb+ )	Sn+ / ( Pb+ )	Cs_2+ / ( ^13CH_5N_2+ )	Cs_3I_2+ / ( ^13CH_5N_2+ )	I+ / ( Pb+ )	
#				N/A	984.8064	787.8439	590.8874	393.9246	196.9602	106.9038	213.8057	320.7077	15.9945	239.8055	123.9025	121.9006	115.8981	116.9002	117.8989	118.9011	119.8994	1172.1645	912.3565	652.5560	519.6274	392.7407	386.7136	259.8114	27.9766	59.9992	47.9991	35.9993	23.9994	11.9994	362.1873	361.1996	360.1523	839.9904	719.9936	92.0309	33.0300	32.0293	75.0245	77.0466	328.7876	344.7821	298.7851	265.8091	132.9082	64.0992	33.0495	32.0473	46.0473	45.0479	217.0160	623.9266	415.9498	203.9709	205.9735	206.9748	207.9761	284.8228	1224.5018	30.0348	31.0418	16.0262	43.0300	44.0381	28.0194	29.0265	30.0349	17.0269	15.0237	1258.4241	1131.5214	1004.6208	877.7139	750.8147	796.6680	669.7604	542.8569	330.8847	332.8842	333.8854	334.8854	135.8979	381.7039	365.7022	250.8027	255.8108	507.5935	376.7071	360.7091	261.7986	245.8079	146.8980	227.8038	229.8069	128.8996	130.8955	112.9059	114.9049	126.9149	N/A	N/A	N/A	N/A	N/A	
#Data Point #	Sputter Time (s)	Dose (ions)	Fluence (ions/cm^2)	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
1	0	2.1148e+06	8.45913e+10	657633	148.94	90.3227	121.516	42.0643	29.0641	1.00015	45.1622	11.0121	6.0011	14.0097	7.00198	15.0086	18.0142	17.0122	17.0106	11.0071	11.0056	148.677	90.3788	37.1076	46.1144	15.0231	30.0429	10.0037	212.37	41.0539	10.019	9.00247	32.0313	519.138	469.529	373.847	376.09	99.3419	124.534	3054.6	6255.26	1075.4	705.145	3662.31	11.0121	4.00226	4.00318	15.0122	60.1332	22.3731	1249.75	69.6665	10.0515	358.227	130.535	117.462	84.2622	61.1109	94.2696	269.165	196.162	21.0199	5451.02	1050.01	3749.43	15.013	309.713	95.6327	169.148	173.335	1003.53	2.00049	926.896	69.1369	196.475	299.593	93.3944	69.2269	59.1717	51.1413	71.2177	23.0214	26.0256	34.0418	46.0746	11.005	14.0133	32.051	23.0218	16.012	49.163	42.0986	25.0334	15.0178	4.00189	26.0268	25.0374	21.025	18.0185	8.00501	64.1292	1177.6	8.00232	0.0512409	0.0561045	1.49352	3.69174	0.0407944	
2	1.4666	3.6676e+09	1.7178e+12	551352	90.3484	59.1484	83.2668	34.0471	26.0459	1.00021	14.03	5.00278	7.0015	14.0142	5.0018	17.0121	27.0295	16.0108	9.00266	10.0053	15.0086	95.2819	71.2067	51.1225	39.0708	15.0157	41.0814	13.0119	49.0734	33.0381	6.00807	11.0044	21.0135	403.013	494.766	431.396	436.568	77.2102	92.2772	4031.05	5544.86	946.507	715.492	4375.47	6.00373	1.00052	12.0112	10.0053	44.0733	15.2338	956.51	58.4224	12.0223	218.628	125.48	100.354	67.1652	44.0614	80.1984	123.452	141.595	11.0058	7376.94	474.01	1682.79	12.0097	218.497	55.1521	136.953	96.061	455.578	0	969.226	52.0764	133.744	256.951	70.2629	66.2071	42.108	37.0724	60.1426	15.0081	27.0265	32.036	48.0767	4.00073	7.00296	28.047	16.0112	6.00159	45.0944	38.0871	25.0415	8.00464	5.00168	14.0093	40.0695	6.00348	21.0207	10.0043	28.0258	526.496	10.0047	0.0849066	0.105997	0.832223	4.2523	0.0706574	
3	2.9332	7.33258e+09	3.35017e+12	517187	93.3995	57.1314	77.2383	41.0615	22.0238	2.00024	35.0935	9.00809	10.0031	12.0077	6.00147	7.0029	12.0075	14.0082	8.00183	5.0018	11.0056	95.2902	56.1347	42.1172	31.06	8.00807	31.0585	10.0089	23.0162	22.0188	10.0159	12.0051	23.0162	382.476	492.397	404.845	445.615	63.16	94.3022	4102.55	5302.83	891.872	741.762	4466	8.00556	5.00308	3.0029	6.00287	63.138	20.9243	841.061	39.1733	7.00877	163.922	146.667	88.27	75.201	56.0906	90.2499	68.1363	105.339	11.0053	6132.91	249.831	934.803	11.0098	202.829	41.1046	113.562	60.2484	239.717	0	935.483	42.055	133.632	188.128	43.0956	49.1081	46.093	44.1159	62.1698	17.0128	25.0225	25.0245	37.048	7.00205	25.0236	22.0263	10.005	11.0067	42.0975	30.0592	24.0347	13.0112	3.00046	13.0094	20.0246	6.0022	19.0227	3.00046	17.0109	280.482	8.0047	0.0665354	0.104478	0.85648	6.00922	0.0759899	
4	4.3998	1.0997e+10	4.9817e+12	499038	86.3011	48.0883	63.1586	47.0771	26.0441	3.00076	27.0699	10.0067	9.00247	16.0148	8.00238	12.0059	21.0158	6.00287	15.0096	7.00357	10.0069	90.2727	62.1733	37.1111	37.069	8.00904	35.0705	9.00382	10.0031	22.0148	6.0099	15.0069	21.0135	380.382	506.858	383.927	414.871	63.1451	80.2263	4049.04	5302.66	883.168	791.222	4401.94	7.00528	8.0055	7.00461	6.00202	43.0714	18.5107	930.46	55.0443	4.00397	133.181	117.425	82.2348	65.168	62.1131	84.2098	74.1578	128.502	13.0091	5333.71	222.17	703.529	12.0104	168.342	36.0685	122.605	43.8382	213.063	0	936.483	41.053	125.594	178.951	56.1456	42.0747	35.0599	41.0936	54.1265	19.0141	19.0126	27.0254	29.0351	6.00293	14.0075	31.0554	9.00528	8.00275	33.0728	47.1097	28.0429	12.0099	3.00064	8.00507	27.0343	11.006	18.0181	6.00446	10.0049	202.283	9.00486	0.0311587	0.0778733	1.49902	9.26859	0.0700754	
5	5.8664	1.4661e+10	6.61239e+12	485310	79.2689	49.0933	91.2992	51.095	25.0351	5.00217	28.0661	5.00302	7.0015	13.0089	5.00156	7.00394	24.0242	9.00314	12.0057	10.0067	7.00339	79.1877	57.1308	44.1416	38.1094	6.00318	32.0487	6.0022	9.00247	25.0222	5.00626	17.0088	15.0069	371.173	527.308	374.632	414.862	69.1709	69.1887	3876.6	5570.63	989.862	749.026	4303.72	13.0101	3.00119	8.01443	20.022	34.0482	22.2947	876.419	58.5873	2.0011	133.13	133.549	109.389	90.2988	55.0848	80.195	51.081	130.503	10.0048	4566.29	162.415	576.67	17.0154	175.285	33.0455	114.546	38.6869	154.337	0	886.615	27.0278	106.465	189.014	59.1816	43.0808	36.0716	45.0982	55.1389	19.0155	15.008	32.0354	32.0365	5.00241	16.0164	25.0395	7.00272	4.00079	32.0728	24.0442	27.0407	12.0105	1.00027	10.0071	30.0376	11.0055	19.018	6.00128	5.00192	133.585	7.00296	0.0153338	0.0536647	10.0055	22.0587	0.0536614	
6	7.333	1.83244e+10	8.24224e+12	475423	79.2648	50.1052	75.2181	39.0554	27.0368	2.00061	23.0501	5.00339	6.0011	15.0099	4.00049	10.0042	16.0086	7.00369	6.00324	9.00443	11.0067	104.324	62.1727	47.1338	43.0928	12.0126	34.055	2.0011	9.00247	19.0122	9.00852	14.006	19.011	382.429	463.685	370.263	405.566	53.0989	93.2932	3850.46	5764.92	1024.05	777.288	4269.26	5.00412	2.00024	10.008	9.00528	47.0844	22.9219	920.144	55.5381	5.00394	144.218	119.444	78.2251	58.1239	54.0901	82.1961	56.0914	114.391	10.0045	4160.16	124.784	492.116	12.0087	164.068	26.0339	154.959	34.7041	116.72	1.00015	937.484	35.0373	107.418	170.888	56.1352	48.1062	29.0443	39.0758	43.0932	20.017	24.0199	22.017	32.0389	6.00189	14.0125	31.052	9.00333	5.00162	35.0873	32.0705	25.0299	10.0073	7.0029	4.00098	16.0163	7.00272	15.013	7.00284	6.00159	103.36	8.0036	0.0437441	0.0962203	1.79964	9.41934	0.069967	
7	8.7996	2.19873e+10	9.87125e+12	466355	69.2128	46.0913	78.2374	44.0768	17.0203	5.00076	27.0684	9.00492	6.0011	7.00296	6.00195	9.00424	19.0165	16.0089	9.00308	11.0063	7.00229	78.2033	62.1516	37.0951	37.091	9.00993	32.0506	8.0044	1.00003	21.0148	12.0202	13.0052	12.0051	380.405	423.738	332.488	400.385	65.1437	90.2731	3767.47	6073.94	980.539	707.126	4145.21	7.0062	5.00192	8.00623	8.00599	51.092	17.3447	911.266	50.0431	10.0104	142.271	129.517	87.2578	71.1762	55.0888	75.1718	69.1424	119.407	17.0141	3842.82	136.938	478.83	9.00528	172.247	22.035	109.421	24.4591	129.887	2.00098	911.2	38.0472	127.541	165.83	56.1363	31.0586	37.0744	41.0988	39.0819	20.0129	15.0093	15.009	32.0366	4.00195	6.00214	17.0218	11.0096	3.00076	29.0505	31.0693	20.0279	12.0068	5.00125	9.00363	26.0313	13.0074	13.009	4.0014	5.00131	79.2255	11.0074	0.0838349	0.0586424	0.799763	3.70563	0.0921838	
8	10.2662	2.56497e+10	1.14994e+13	457906	77.2399	46.078	78.226	37.0571	23.0349	0	17.035	14.0095	9.00247	11.0086	5.00125	6.00171	23.0199	7.00174	8.00537	9.00632	7.00259	65.128	62.1437	38.1155	23.0311	11.0123	22.0258	7.00333	1.00003	17.0088	12.0198	14.006	17.0119	335.41	461.308	343.768	385.945	56.1136	80.2113	3653.6	6292.24	1097.85	723.753	4337.77	7.00969	5.00229	10.0113	14.0073	44.0721	30.4876	956.856	68.6691	3.00168	106.799	104.344	79.2243	88.2562	55.0887	81.1996	54.0845	130.496	9.00369	3650.27	123.87	427.261	16.0156	177.191	16.0188	136.682	40.7245	110.764	0	896.231	33.0357	102.386	138.557	35.074	43.0664	41.0887	30.0495	48.1133	17.0138	15.0072	21.0192	27.024	3.00034	10.0051	16.0162	7.00351	7.00229	45.1084	34.0653	20.0247	11.0113	2.00012	5.00223	30.038	9.00516	13.0126	8.00403	2.00049	72.1731	8.00482	0.0230021	0.0536614	4.66648	12.698	0.0613416	
9	11.7328	2.93116e+10	1.31267e+13	446923	49.1192	55.1118	65.155	36.0438	26.0314	3.0004	34.0886	14.013	8.00195	8.00336	3.00076	8.00324	19.0164	6.00397	9.00339	10.0078	8.00366	78.1936	52.1132	28.0451	33.0772	14.0166	42.0985	10.0057	0	11.0057	6.00366	13.0052	26.0207	373.242	426.539	321.157	366.651	49.0932	76.1932	3651.47	6464.12	1068.76	744.896	4116.16	10.0092	2.00159	7.00816	15.0119	60.1227	16.1797	1011.97	58.8983	5.00406	121.917	117.424	86.2459	76.2077	44.0603	74.1602	59.1073	98.2826	6.00293	3405.69	128.928	378.235	18.0182	187.42	23.0288	118.536	26.4677	121.89	0	916.258	28.0249	91.321	154.72	43.0971	50.1043	43.0946	33.0762	44.0847	28.0254	13.0063	16.0109	40.0653	7.00217	10.0072	20.0271	9.00663	4.00061	40.1042	31.0497	22.0309	19.0178	4.00049	7.00247	20.0188	11.0086	22.0224	9.00455	5.00205	49.0913	9.00461	0.050915	0.0814352	2.99994	5.60447	0.0916195	
10	13.1994	3.2973e+10	1.47532e+13	439268	80.2488	47.0853	60.1475	42.0705	21.0233	3.00082	31.0645	10.0079	6.0011	14.0114	7.00156	9.0029	18.0147	13.0069	9.00583	0	6.00153	71.1723	59.1314	37.0781	31.0661	9.00852	30.0631	6.00299	0	19.011	9.00852	23.0176	12.0044	349.706	442.492	354.712	384.952	54.0999	64.1412	3614.74	6813.82	1183.85	712.393	4137.88	7.00608	4.00275	11.0105	8.00324	58.1214	8.64821	1007.2	53.8863	6.00476	131.074	122.461	87.2515	83.2301	41.0522	91.2483	71.1404	97.2799	10.0044	3307.74	126.797	383.46	15.0126	173.217	24.0352	134.683	27.4281	120.767	0	932.306	30.0331	100.392	129.512	38.0789	43.0864	37.062	52.1125	48.1155	7.0018	20.0172	21.0152	37.0453	7.00253	12.0074	18.0215	13.0082	2.00018	36.0772	29.0605	24.0324	10.006	6.00232	7.00217	14.0109	8.00391	17.0156	6.00244	3.00046	44.0654	13.008	0.0617267	0.0616934	1.33281	6.17479	0.133718	
