# Profile Smoothing is Disabled
#				total	Ag-	^109Ag-	Au-	Au_2-	Au_3-	Au_4-	Au_5-	Au_6-	Au_7-	O_2-	O-	SnI-	^118SnI-	SnI_2-	^118SnI_2-	Sn_2I_5-	Sn^118SnI_5-	^118Sn_2I_5-	SnI_3-	^118SnI_3-	Sn_2I_3-	^118SnSnI_3-	SnI_5-	^119SnSnI_3-	^117SnSnI_3-	^116SnSnI_3-	^118Sn^117SnI_3-	^118Sn^116SnI_3-	^116SnF_5-	^117SnF_5-	^118SnF_5-	^119SnF_5-	^122SnF_5-	^124SnF_5-	SnF_5-	Si-	SiO_2-	^29SiO_2-	SiO_3-	^29SiO_3-	^13C_2F_6NO_4S_2-	C_9-	C_4-	C_3-	C_2-	C_5-	C_6-	C_7-	C_70-	C_60-	PO_3-	PO_2-	SnO_2-	^118SnO_2-	^119SnO_2-	^118SnO-	^116SnO-	SnO-	Sn_2O_3-	C_5N-	CsI_2-	Cs_2I_3-	Cs_3I_4-	CH_3NH_2I-	CH_3NH_3I_2-	CH_4N_2I-	CH_3N_2-	CH_5N_2I_2-	PbI-	PbI_3-	^207PbI_3-	^206PbI_3-	^204PbI_3-	PbI_2-	^207PbI_2-	^206PbI_2-	^204PbI_2-	Pb_2I_3-	^207PbI-	^206PbI-	^204PbI-	Pb^207PbI_3-	Pb^206PbI_3-	^207Pb^206PbI_3-	^206Pb_2I_3-	Pb_2I_5-	Pb^207PbI_5-	Pb^206PbI_5-	^207Pb^206PbI_5-	^206Pb_2I_5-	F-	Br-	^81Br-	^109Ag_2I_3-	^109AgAgI_3-	^109AgI_2-	^109AgI-	Cl-	Ag_2I_3-	AgI_2-	AgI-	C_2F_6NO_4^34SS-	C_2N-	C_3N-	CN-	CH_3O-	^13CN-	InO-	InO_2-	CN_2-	CNO-	I_2-	I_3-	I-	^118SnI_3-SnI_3-	Sn^118SnI_5-Sn_2I_5-	^118Sn^117SnI_3-, ^118Sn^116SnI_3-, ^116SnSnI_3-, ^117SnSnI_3-, ^119SnSnI_3-^118SnSnI_3-	^118SnI-SnI-	^206PbI_3-, ^207PbI_3-PbI_3-	^118SnI_3-SnI_3- / ( ^118Sn^117SnI_3-, ^118Sn^116SnI_3-, ^116SnSnI_3-, ^117SnSnI_3-, ^119SnSnI_3-^118SnSnI_3- )	CH_4N_2I- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3-, Pb^207PbI_3-Pb_2I_3- )	^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3-, Pb^207PbI_3-Pb_2I_3-	I_2- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3-, Pb^207PbI_3-Pb_2I_3- )	^206Pb_2I_5-, ^207Pb^206PbI_5-, Pb^206PbI_5-, Pb^207PbI_5-Pb_2I_5-	^118SnI_2-SnI_2-	^206PbI-, ^207PbI-PbI-	^118SnI_3-SnI_3- / ( ^206PbI_3-, ^207PbI_3-PbI_3- )	^206PbI_3-, ^207PbI_3-PbI_3- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3-, Pb^207PbI_3-Pb_2I_3- )	^118Sn^117SnI_3-, ^118Sn^116SnI_3-, ^116SnSnI_3-, ^117SnSnI_3-, ^119SnSnI_3-^118SnSnI_3- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3-, Pb^207PbI_3-Pb_2I_3- )	Cs_2I_3- / ( CH_4N_2I- )	^206PbI_3- / ( O- )	^206PbI_2-, ^207PbI_2-PbI_2-	CN- / ( InO- )	
#				N/A	106.9050	108.9045	196.9672	393.9231	590.8761	787.8231	984.7736	1181.7205	1378.6757	31.9927	15.9963	246.8036	244.8034	373.7111	371.7106	874.3298	872.3303	870.3349	500.6285	498.6205	620.5302	618.4732	754.3551	619.5126	617.5134	616.5175	615.4646	614.5140	210.8892	211.8938	212.9145	213.9095	216.9079	218.9058	214.8895	27.9773	59.9682	60.9681	75.9640	76.9650	281.9311	108.0035	48.0018	36.0015	24.0010	60.0021	72.0030	84.0028	839.9951	719.9632	78.9639	62.9647	151.8901	149.8894	150.8913	133.8927	131.8923	135.8958	287.7974	74.0069	386.7228	646.5044	906.3262	157.9494	285.8727	170.9561	43.0310	298.9013	334.8768	588.6805	587.6781	586.7128	584.7255	461.7882	460.7868	459.7856	457.7826	796.6892	333.8723	332.8702	330.8382	795.6549	794.6544	793.6559	792.6520	1050.4653	1049.4653	1048.4648	1047.4623	1046.4582	18.9993	78.9188	80.9167	598.4819	596.5142	362.7354	235.8025	34.9691	594.5189	360.7212	233.8074	281.9336	38.0026	50.0069	26.0085	31.0185	27.0058	130.9015	146.8986	40.0081	42.0006	253.8096	380.7097	126.9085	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
#Data Point #	Sputter Time (s)	Dose (ions)	Fluence (ions/cm^2)	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
1	0	1.98274e+06	7.93089e+10	1.12516e+06	11.006	4.0014	1167.22	39.0615	67.1647	16.0099	26.0255	23.0219	4.00049	134.218	10035.5	10.0049	8.00391	19.0112	13.006	22.0188	21.0129	31.022	35.0483	34.037	68.1238	21.0179	13.0119	13.012	15.0146	14.0209	15.0138	18.0208	2481.28	406.154	520.311	1047.82	108.464	96.2965	98.4525	27.0239	191.11	211.383	54.0924	84.2206	20034.5	1051.79	3601.41	2863.42	9263.38	2407.81	2204.28	1513.15	29.0326	25.0253	1544.36	192.122	78.1916	141.601	212.331	36.039	16.0079	3.00064	38.0469	8558.09	13.0064	18.0143	27.0184	222.546	35.0655	85.281	252.441	31.0421	81.1721	331.34	171.897	196.213	72.2071	116.427	69.1617	83.2249	24.0198	18.0111	50.0747	47.0605	41.0456	24.0174	26.0271	27.0247	18.0126	38.0394	26.0197	29.0225	31.0278	38.0323	31388.7	13.0058	11.0051	25.023	50.0652	50.0734	12.007	168.878	21.0192	33.0396	7.00388	20030.1	760.375	23618.3	92763.6	1271.19	2151.7	48.0774	89.2746	1435.88	2323.65	54.1085	15.0069	5106.53	69.0853	43.0317	96.1	18.0088	699.45	0.718889	0.754079	113.093	0.478442	162.142	32.0172	178.307	0.0987709	6.18473	0.849744	0.211235	0.0195519	268.813	1929.46	
2	1.4666	3.66726e+09	1.70219e+12	1.02141e+06	7.00205	6.0011	863.918	45.068	51.0895	22.0144	18.0098	9.00278	5.00052	86.3537	10260.4	12.0061	12.0065	6.00122	7.00174	21.0138	12.0044	22.0117	18.0134	23.0177	25.0198	9.00321	7.00541	12.0119	8.00544	9.00498	8.0066	11.0071	2251.29	259.06	354.983	791.488	87.2679	72.1687	85.2983	15.0069	62.1176	85.2213	34.0373	46.0669	19258.1	1047.38	4631.04	3621.01	13635.1	2842.03	2698.11	1732.91	22.015	23.0238	1203.63	157.774	42.0556	89.2346	148.664	24.0164	24.0172	4.00073	28.0245	7253.52	7.00156	17.0108	18.0103	164.868	33.0585	72.1896	139.535	22.0245	65.1177	146.656	98.2809	94.3056	60.1399	60.1115	42.0554	46.0749	22.0167	12.0054	32.0305	38.0421	22.0147	17.0099	16.0076	17.0102	12.0069	24.0144	16.0076	15.0056	15.0074	14.0048	36510.4	9.00449	6.0014	22.017	22.0181	23.0146	12.0056	118.427	18.0169	20.0129	7.00205	19250.9	705.995	19967	92237	1381.77	1923.88	25.0225	100.322	1329.71	1749.47	29.0308	6.00153	2180.35	41.0311	33.0182	57.0391	24.0126	339.243	0.71935	0.975008	74.0401	0.392096	84.0398	13.003	135.19	0.120949	4.58188	0.770382	0.23564	0.00919125	148.242	3686.16	
3	2.9332	7.33214e+09	3.32454e+12	1.04444e+06	2.00012	4.0014	802.085	33.0364	42.0647	15.0108	6.0011	12.0039	3.00021	73.5275	9991.29	6.00214	12.0062	6.00128	4.00079	17.0082	16.007	10.0026	23.0168	15.0085	23.0143	5.00211	7.00321	5.00419	9.00528	12.0054	9.00424	6.00256	2207.82	176.981	304.887	751.563	99.332	58.1046	87.3256	1.00009	66.1333	50.0765	25.0209	30.0293	19090.4	949.706	4390.86	3494.53	14068.4	2683.16	2556.26	1564.87	13.0058	35.0416	1049.03	152.709	40.0472	75.1703	156.713	20.0127	12.0045	0	17.0113	6653.71	8.0025	7.00241	12.0051	127.526	30.0458	52.0935	136.095	17.0157	61.0918	84.2412	58.1002	70.1892	59.1249	43.0573	42.0575	42.0556	18.0099	15.0091	30.0254	35.0364	19.0105	13.0059	12.0048	10.0038	14.0079	20.0101	8.00183	14.0059	14.0056	11.0033	38776	4.00104	3.00027	22.0166	27.0262	17.0092	12.0056	87.2318	24.0293	15.0087	15.009	19089.3	669.536	18339.1	92219.4	1353.13	1727.01	20.0144	99.3405	1260.67	1478.87	17.0119	4.00055	1312.4	38.0253	33.0151	46.0238	18.0083	212.531	0.82621	0.813561	64.0314	0.265681	67.0267	10.0021	126.154	0.178917	3.31916	0.718769	0.13442	0.00702504	127.17	4607.66	
4	4.3998	1.09966e+10	4.94638e+12	948910	3.00064	3.00082	714.57	32.0351	36.0518	13.0063	10.0034	7.00217	2.00012	88.3517	9287.45	9.00363	14.007	6.00183	5.00131	19.0122	12.0043	12.004	9.00296	11.0058	28.0196	10.0058	5.00351	7.00296	5.00186	5.0018	10.0073	5.00223	2075.97	151.721	285.495	703.164	95.3032	73.1698	60.1468	6.00147	56.0959	60.1112	24.018	25.0196	18973.1	925.219	4462.61	3444.1	14336.7	2607.26	2548.31	1547.06	14.005	19.0173	989.583	126.487	45.0612	87.22	126.465	13.0052	20.0129	2.00024	21.0148	6332.05	6.00122	11.0081	16.0093	124.479	23.0324	42.0686	95.045	29.0439	58.083	58.1094	52.0793	48.0747	53.0976	37.0441	26.022	19.0127	15.006	5.00101	18.0101	38.0419	25.0165	13.007	17.0108	11.0041	7.00302	9.00284	10.0042	9.00205	11.003	10.0023	38948.9	5.00107	4.00061	19.0143	29.0295	25.0179	6.0011	90.2481	13.0103	6.00122	10.0048	18962.9	666.369	16941.3	91756.3	1253.53	1691.82	25.0202	91.293	1129.16	1504.06	10.0049	3.0004	832.833	20.0087	31.0165	42.0219	23.0106	158.263	0.47615	0.793359	53.0259	0.188679	49.0144	11.0031	114.135	0.126427	2.98464	0.792479	0.26167	0.0051763	82.0788	3667.29	
5	5.8664	1.46607e+10	6.5677e+12	946996	4.00147	3.00064	617.026	33.0342	49.076	16.0084	11.0038	5.00162	8.00146	72.5678	9372.61	9.004	4.00055	6.00183	7.00143	12.0035	11.0036	16.0077	14.0068	18.01	17.0072	6.00201	6.00342	11.0077	7.00369	7.00406	6.00476	12.0082	2025.93	137.59	248.965	704.976	69.1684	64.1261	76.2429	0	48.0725	54.0892	23.0162	24.0184	19195.6	857.446	4330.94	3409.35	14181.1	2355.99	2434.25	1496.28	18.0107	30.0275	984.424	127.495	33.0323	75.171	140.571	7.00162	15.0071	3.00064	23.0159	6048.94	4.0011	12.0063	13.0061	119.435	28.0455	43.073	94.9267	17.0107	46.0537	47.0737	33.0401	33.0442	52.0975	24.0185	30.0282	25.0212	14.0073	8.00256	23.0155	21.0126	25.0163	12.0053	18.0102	20.0132	5.00162	7.0015	7.00174	10.0026	6.00128	11.0037	37771.6	10.008	1.00009	18.0147	27.0242	20.011	10.0051	73.1631	27.0289	9.00278	8.00348	19194.6	656.998	15962.4	91017.8	1181.39	1635.35	18.0109	111.395	1109.75	1426.32	18.0168	6.0011	606.111	32.0168	23.0072	49.0305	13.0045	113.158	0.652997	0.683342	63.0329	0.285832	41.0108	13.0033	90.0818	0.282939	1.79522	0.777856	0.278743	0.00352562	79.0679	5053.48	
6	7.333	1.83243e+10	8.18851e+12	930369	1.00015	2.00043	611.036	31.03	33.0402	11.0038	11.004	15.007	0	80.0269	8825.75	3.0007	7.00229	3.0004	7.00229	15.0069	19.0094	10.002	13.0071	10.0029	18.0098	4.00122	10.0075	4.00073	8.0044	10.0086	8.00324	7.00424	2012.44	139.613	240.85	712.063	80.2181	46.0681	73.2214	2.00012	44.0592	46.0648	20.013	26.0207	19134.8	909.278	4351.1	3250.49	14118.2	2403.06	2385.54	1478.98	8.00348	20.0156	947.19	128.512	27.0238	82.2061	107.346	16.0079	13.0048	4.00085	29.0307	5780.38	11.0042	12.006	8.00415	102.332	26.0428	37.0467	71.4346	18.015	41.0431	40.0561	29.0229	32.0331	59.1319	26.0227	27.0228	23.019	15.0063	6.00159	23.0155	22.0148	28.0232	11.0036	5.00076	7.00174	11.0041	12.0047	14.0059	10.0037	4.00085	12.0035	38633.9	7.00259	5.00082	12.0082	21.0121	11.0031	8.00311	79.1911	17.0129	6.00159	7.00284	19125.5	611.3	15410.7	90347.2	1128.71	1541.69	12.0053	88.2557	1049	1373.04	18.0137	11.0038	474.861	23.01	34.0164	41.0224	10.003	101.112	0.560912	0.925894	40.0118	0.450209	52.0187	10.0027	86.0734	0.227569	2.52706	1.02526	0.324079	0.0036295	76.0645	7525.64	
7	8.7996	2.19876e+10	9.80879e+12	901006	1.00015	3.00034	567.104	21.017	26.0213	13.0051	12.0045	6.00159	3.0004	82.1572	8645.52	7.00253	5.00186	4.00061	8.0025	11.0031	11.0039	10.0028	12.0049	10.0046	12.0042	8.00391	6.0033	4.00177	4.00122	3.00186	7.00406	5.00162	1890.46	116.412	226.688	656.513	76.2085	42.0578	63.1775	1.00003	44.0592	32.0313	21.0135	23.0177	19014.3	962.251	4438.24	3285.68	14007.4	2435.77	2381.46	1543.52	11.005	15.0075	970.352	129.533	42.055	69.1405	114.39	12.0047	12.0044	0	22.0171	5559.11	9.00266	11.0055	18.0104	107.363	22.0317	34.0485	67.3023	19.0172	29.0216	33.0383	28.0264	41.0664	44.0626	20.0122	19.0121	18.0115	13.005	5.00125	13.0048	28.0241	22.0126	15.0074	11.0043	4.00049	14.0066	12.0032	9.00247	8.00202	9.0029	9.00266	37856.6	3.00082	3.00027	11.0054	19.0105	18.0084	4.0022	82.216	13.0073	10.0035	4.00128	19007.2	651.835	14880.7	90244	1134.15	1551.66	18.0112	95.2968	1040.41	1392.54	16.018	6.00116	412.141	22.0095	22.0071	31.0144	12.0044	102.131	0.709652	0.694584	49.0201	0.326765	47.0133	12.0031	70.0505	0.215502	2.08346	0.632689	0.323231	0.00475002	57.0357	5010.44	
8	10.2662	2.56504e+10	1.14286e+13	898794	3.00058	1.00009	573.144	17.011	28.0269	11.0044	5.00089	7.00162	4.00037	77.9083	8611.07	10.0048	6.00189	3.00034	4.00079	9.00406	9.00186	15.0046	11.0047	9.00443	12.0034	7.0029	5.00321	10.0043	8.00556	6.00513	4.00061	11.0044	1902.98	107.349	242.868	656.118	69.1586	40.0534	81.2563	0	52.0856	27.0223	18.0105	31.0294	18651.9	865.756	4365.63	3163.92	14248.2	2283.79	2456.5	1454.04	23.015	21.0166	923.622	104.331	39.0448	78.1889	112.363	10.0031	16.0078	3.0004	20.0125	5610.62	8.00226	7.00241	19.01	105.353	17.019	32.0347	83.5954	11.0071	48.0666	30.0355	33.0349	26.0206	37.0467	23.0173	20.0125	21.014	16.0075	6.00134	23.0143	12.0044	23.0146	10.0043	10.0046	10.0032	4.00092	8.00208	8.00269	4.00049	9.00198	14.0054	38455	1.00021	1.00003	13.0083	26.0203	20.01	9.00302	65.1293	13.0082	8.00287	5.00156	18647.8	692.428	14807.6	90501.9	1055.98	1569.05	20.0139	114.43	1045.73	1273.21	15.0094	5.00095	339.556	20.0092	18.0059	46.023	16.0067	89.0911	0.434765	0.800581	40.0144	0.375101	43.0126	7.00113	83.0853	0.224592	2.22648	1.15016	0.218588	0.00302177	64.0438	4521.96	
9	11.7328	2.93129e+10	1.30478e+13	940829	3.0004	2.00024	578.367	19.013	30.0258	11.0039	12.0056	12.0039	4.00043	71.1983	8662.57	10.0055	11.0058	5.00076	3.00064	7.00107	9.00211	11.0028	9.00302	8.00232	9.00321	6.00201	7.00363	8.00421	8.00256	9.00412	8.00489	9.00339	1863.61	98.307	235.753	638.682	67.1402	38.0529	66.1936	0	50.0773	39.0489	20.0122	19.011	18802.4	838.434	4301.91	3207.43	14516.1	2274.57	2421.2	1510.17	9.00333	21.0143	913.289	91.2537	35.0378	58.1034	122.429	16.008	12.0047	0	17.0104	5514.34	5.00076	8.00513	19.0106	106.355	18.0202	33.0429	57.0375	10.0067	29.0204	31.0325	26.0228	27.0335	37.0456	32.0334	23.0179	20.0133	9.00388	7.0018	15.0061	40.0486	14.0054	12.0046	7.00168	14.0065	10.0043	5.0007	13.0042	12.0027	11.0042	6.00067	37757.2	7.00223	0	9.00602	15.0066	18.009	8.00354	47.0704	13.0072	11.0042	5.00156	18792.1	623.723	14601.3	91437.1	1058.41	1497.58	18.0105	98.3373	1023.37	1272.21	11.0069	3.00076	254.974	17.0053	16.0032	48.0212	21.0113	84.0889	0.354122	0.660609	50.0188	0.220055	47.0126	8.0014	84.0752	0.202231	1.68115	0.960063	0.242265	0.00312073	75.0646	5076.88	
10	13.1994	3.29749e+10	1.46665e+13	918218	6.00195	0	600.31	27.0242	34.0409	5.00089	6.00122	12.0042	5.0007	87.3535	8255.69	11.0043	13.0065	5.00143	6.00171	8.00189	13.0064	13.0038	10.0038	8.00373	13.0053	10.0048	3.00168	9.00657	12.0062	12.0067	3.00095	4.00098	1848.09	111.379	224.583	623.216	69.1559	40.0494	67.1926	1.00003	40.0514	33.0333	11.0042	20.0122	18280.9	897.553	4299.71	3155.67	14339.5	2329.46	2384.67	1436.29	12.0067	31.0341	949.109	113.391	29.0264	66.1318	109.36	8.00202	14.0064	3.00052	19.0117	5370.52	8.00226	8.00397	11.0041	108.381	22.0252	34.0413	75.4132	15.0111	39.0404	21.0159	21.016	20.0148	26.0243	28.0241	22.0156	19.0096	17.0088	6.0022	21.0133	27.0198	15.0064	6.00092	12.0051	12.0045	4.00098	4.00061	9.00266	2.00024	9.00284	6.00202	37845.8	3.00089	4.00073	5.00113	28.0226	11.0033	7.00211	68.1415	18.0166	4.00085	5.00089	18274.8	645.552	14013	89810.5	1038.4	1482.51	9.00247	88.2534	993.831	1299.26	15.0081	12.0049	263.102	18.0076	21.0083	50.0262	24.0108	62.0466	0.359963	0.850742	40.0136	0.375075	30.0084	11.0031	87.0735	0.290227	1.55064	1.25023	0.235126	0.00242436	69.0492	9976.2	
