Cluster Size	Current [pA]
1.0	0.030000
51.5	0.110000
102.0	0.140000
152.5	0.200000
203.0	0.360000
253.5	0.730000
304.0	1.150000
354.5	1.370000
405.0	1.400000
455.5	1.280000
505.9	1.140000
556.4	0.960000
606.9	0.820000
657.4	0.660000
707.9	0.540000
758.4	0.460000
808.9	0.370000
859.4	0.310000
909.9	0.270000
960.4	0.230000
1010.9	0.210000
1061.4	0.180000
1111.9	0.160000
1162.4	0.170000
1212.9	0.150000
1263.4	0.140000
1313.9	0.130000
1364.4	0.130000
1414.9	0.130000
1465.4	0.130000
1515.8	0.130000
1566.3	0.130000
1616.8	0.110000
1667.3	0.120000
1717.8	0.120000
1768.3	0.110000
1818.8	0.120000
1869.3	0.120000
1919.8	0.120000
1970.3	0.110000
2020.8	0.110000
2071.3	0.110000
2121.8	0.120000
2172.3	0.110000
2222.8	0.110000
2273.3	0.120000
2323.8	0.110000
2374.3	0.110000
2424.8	0.110000
2475.3	0.110000
2525.7	0.100000
2576.2	0.120000
2626.7	0.110000
2677.2	0.090000
2727.7	0.110000
2778.2	0.100000
2828.7	0.110000
2879.2	0.110000
2929.7	0.110000
2980.2	0.100000
3030.7	0.100000
3081.2	0.100000
3131.7	0.100000
3182.2	0.090000
3232.7	0.080000
3283.2	0.050000
3333.7	0.040000
3384.2	0.000000
3434.7	-0.020000
3485.2	-0.020000
3535.6	-0.030000
3586.1	-0.030000
3636.6	-0.040000
3687.1	-0.030000
3737.6	-0.030000
3788.1	-0.030000
3838.6	-0.030000
3889.1	-0.020000
3939.6	-0.030000
3990.1	-0.030000
4040.6	-0.030000
4091.1	-0.030000
4141.6	-0.020000
4192.1	-0.030000
4242.6	-0.040000
4293.1	-0.040000
4343.6	-0.030000
4394.1	-0.020000
4444.6	-0.030000
4495.1	-0.040000
4545.5	-0.030000
4596.0	-0.010000
4646.5	0.010000
4697.0	0.030000
4747.5	0.050000
4798.0	0.070000
4848.5	0.100000
4899.0	0.100000
4949.5	0.090000
5000.0	0.080000
