# Profile Smoothing is Disabled
#				total	O-	O_2-	^118SnI_3-SnI_3-	^206PbI_3-, ^207PbI_3-PbI_3-	C_7-	C_6-	C_5-	C_2-	C_3-	C_4-	^118SnI_3-SnI_3- / ( ^118Sn^117SnI_3-, ^118Sn^116SnI_3-, ^116SnSnI_3-, ^117SnSnI_3-, ^119SnSnI_3-^118SnSnI_3- )	^118Sn^116SnI_3-	^118Sn^117SnI_3-	^116SnSnI_3-	^117SnSnI_3-	^119SnSnI_3-	SnI_5-	^118SnSnI_3-	Sn_2I_3-	^118SnI_3-	SnI_3-	^118Sn_2I_5-	Sn^118SnI_5-	Sn_2I_5-	^118SnI_2-	SnI_2-	^118SnI-	SnI-	^29SiO_3-	SiO_3-	^29SiO_2-	SiO_2-	Si-	CH_4N_2I- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3, Pb^207PbI_3Pb_2I_3- )	^118Sn^117SnI_3-, ^118Sn^116SnI_3-, ^116SnSnI_3-, ^117SnSnI_3-, ^119SnSnI_3-^118SnSnI_3-	^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3, Pb^207PbI_3Pb_2I_3-	PO_2-	PO_3-	Sn^118SnI_5-Sn_2I_5-	^206Pb_2I_5-, ^207Pb^206PbI_5-, Pb^206PbI_5-, Pb^207PbI_5-Pb_2I_5-	Cs_3I_4-	Cs_2I_3-	CsI_2-	^118SnI-SnI-	^206PbI-, ^207PbI-PbI-	CH_5N_2I_2-	CH_3N_2-	CH_4N_2I-	SnI_3- / ( PbI_3- )	SnO-	^116SnO-	^118SnO-	^119SnO_2-	^118SnO_2-	SnO_2-	^206PbI_3-, ^207PbI_3-PbI_3- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3, Pb^207PbI_3Pb_2I_3- )	^206Pb_2I_5-	^207Pb^206PbI_5-	Pb^206PbI_5-	Pb^207PbI_5-	Pb_2I_5-	^206Pb_2I_3-	^207Pb^206PbI_3-	Pb^206PbI_3	Pb^207PbI_3	^204PbI-	^206PbI-	^207PbI-	Pb_2I_3-	^204PbI_2-	^206PbI_2-	^207PbI_2-	PbI_2-	^204PbI_3-	^206PbI_3-	^207PbI_3-	PbI_3-	PbI-	F-	^118Sn^117SnI_3-, ^118Sn^116SnI_3-, ^116SnSnI_3-, ^117SnSnI_3-, ^119SnSnI_3-^118SnSnI_3- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3, Pb^207PbI_3Pb_2I_3- )	Cs_2I_3- / ( CH_4N_2I- )	CNO-	^13CN-	CH_3O-	CN-	C_3N-	^118SnI_2-SnI_2-	^206PbI_2-, ^207PbI_2-PbI_2-	InO_2-	InO-	CN_2-	I_2- / ( ^206Pb_2I_3-, ^207Pb^206PbI_3-, Pb^206PbI_3, Pb^207PbI_3Pb_2I_3- )	I-	I_3-	I_2-	CN- / ( InO- )	^206PbI_3- / ( O- )	AgI-	AgI_2-	Ag_2I_3-	Cl-	SnF_5-	^109AgI-	^109AgI_2-	^109AgAgI_3-	^109Ag_2I_3-	^124SnF_5-	^122SnF_5-	^119SnF_5-	^118SnF_5-	^117SnF_5-	^116SnF_5-	^81Br-	Br-	CH_3NH_3I_2-	CH_3NH_2I-	CH_3NH_3I_2-CH_3NH_2I-	^204PbI_3- / ( CN- )	CH_3NH_3I_2- / ( CN- )	1 / ( CH_3NH_3I_2- / ( CN- ) )	
#				N/A	15.9963	31.9927	N/A	N/A	84.0028	72.0023	60.0021	24.0010	36.0015	48.0018	N/A	614.5140	615.4646	616.5175	617.5134	619.5126	754.3551	618.4732	620.5302	498.6270	500.6285	870.3349	872.3303	874.3298	371.7106	373.7111	244.8034	246.8036	76.9650	75.9640	60.9681	59.9682	27.9773	N/A	N/A	N/A	62.9647	78.9639	N/A	N/A	906.3262	646.5174	386.7228	N/A	N/A	298.9013	43.0310	170.9273	N/A	135.8958	131.8923	133.8927	150.8913	149.8894	151.8901	N/A	1046.4582	1047.4623	1048.4648	1049.4653	1050.4653	792.6520	793.6559	794.6544	795.6549	330.8382	332.8702	333.8723	796.6892	457.7826	459.7856	460.7868	461.7882	584.6907	586.7128	587.6781	588.6805	334.8768	18.9993	N/A	N/A	42.0006	27.0058	31.0185	26.0085	50.0069	N/A	N/A	146.8986	130.9048	40.0081	N/A	126.9085	380.7097	253.8134	N/A	N/A	233.8074	360.7212	594.5189	34.9691	214.8895	235.8025	362.7354	596.5142	598.4819	218.9058	216.9079	213.9095	212.9145	211.8938	210.8892	80.9167	78.9188	285.8591	157.9494	N/A	N/A	N/A	N/A	
#Data Point #	Sputter Time (s)	Dose (ions)	Fluence (ions/cm^2)	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
1	0	2.75004e+06	1.10001e+11	649753	4043.15	15.2993	151.36	223810	8.00195	23.0184	24.5346	1310.17	169.878	123.494	5.04409	4.00079	2.00018	3.00046	4.00098	7.00156	3.00027	10.0034	957.632	62.1176	89.2424	0	1.00003	0	3.00046	4.00049	1.00003	0	23.0162	14.006	54.0892	348.684	12.0044	0.0162791	30.0074	1352.58	25.0191	33.0555	1.00003	82655.4	12.0044	4.00055	57.0994	1.00003	1271.31	0	75.7885	22.0188	0.000986644	2.00012	1.00003	2.00031	72.1625	3.00027	1.00003	165.469	17316.3	15196.1	31666.9	7650.73	10825.4	95.288	151.708	380.426	336.448	22.0148	328.267	262.085	388.709	175.941	3339.31	3000.76	6905.05	6617.63	97561.9	35797.6	90450.4	680.956	66.1333	0.0221853	0.181688	440.879	59.1098	18.0138	3651.23	76.1768	7.00095	13245.1	3.00034	10.0031	128.534	22.8532	96653.5	1298.09	30910.8	365.01	24.1302	0	13.0052	21.0227	408.039	0	0	7.0015	16.0081	11.0036	0	1.00009	0	0	0	6.0011	13.0052	11.0037	8640.65	1745.79	10386.4	1.81244	2.3665	0.422565	
2	0.5	6.18734e+09	2.80145e+12	520777	422.425	1.00162	23.0085	210729	2.00012	2.00012	2.00465	162.816	11.0037	11.0037	0.76677	6.00177	4.00079	2.00012	6.00171	4.00085	0	8.00183	65.1235	10.003	13.0055	2.00012	0	1.00003	2.00012	0	0	1.00003	5.00076	1.00003	9.00247	37.0418	1.00003	0.00206461	30.0071	1453.37	7.0015	5.00076	1.00003	76767.9	4.00049	7.00137	15.0069	1.00003	674.606	0	6.00403	3.00064	0.000149925	2.00037	1.00003	3.00027	9.00296	4.00049	0	144.994	13263.7	13354	29461	9028.01	11661.2	120.448	164.826	433.711	343.578	14.006	159.777	141.61	390.805	123.464	2167.22	1946.19	4494.84	5430.94	91132.5	32850	86746.8	373.219	12.0044	0.0206466	2.33329	31.0313	23.0162	1.00003	1358.99	9.00247	2.00012	8608.25	0	4.0014	12.0044	14.3505	95466	677.83	20856.6	339.629	215.737	0	2.00012	10.0069	41.0514	0	0	0	10.0024	5.00101	0	0	0	0	0	1.00003	0	0	5312.19	1291.6	6603.79	3.9963	3.90891	0.255825	
3	1	1.23719e+10	5.49266e+12	508367	121.449	0	21.0075	213637	0	0	1.00082	57.1029	2.00012	2.00012	1.23551	0	1.00009	1.00021	6.0011	4.00085	0	5.00089	27.0199	7.0015	14.006	0	0	0	0	0	0	1.00003	1.00003	1.00003	1.00003	12.0044	0	0.00123968	17.0031	1613.41	1.00003	2.00012	0	76055.1	1.00003	2.00012	15.0069	1.00003	613.472	1.00003	1.00009	2.00012	0.000160415	0	1.00003	0	4.00049	0	1.00003	132.413	12377.8	13273.5	29159.5	9345.09	11899.2	118.429	169.878	507.787	353.789	14.006	149.682	138.584	463.532	114.398	2050.07	1829.44	4336.41	5408.17	92519.1	33807.2	87311.1	325.206	13.0052	0.0105386	1	12.0044	20.0122	0	887.671	4.00049	0	8215.92	1.00009	3.00064	3.00027	11.2968	95891.3	548.065	18226.4	295.827	761.793	0	2.00012	10.0053	7.0015	1.00003	0	3.00027	7.00192	7.00131	0	0	0	0	1.00003	1.00003	0	0	3424.13	833.913	4258.04	6.09254	3.85743	0.25924	
4	1.5	1.85565e+10	8.18362e+12	508658	37.0418	0	12.0023	216901	0	0	0	33.0353	3.00027	2.00012	0.666666	2.00043	4.00067	4.00073	1.00009	4.00079	0	3.0007	25.0169	7.0015	5.00076	0	0	1.00003	0	0	0	0	3.00027	2.00012	1.00003	6.0011	1.00003	0	18.0034	1884.99	0	0	1.00003	76127.3	0	2.00037	17.0088	0	619.786	0	1.00009	0	5.6571e-05	0	4.00049	1.00003	3.00027	2.00012	0	115.067	12418.2	13081.2	29233.4	9287.81	12106.6	133.543	216.423	542.887	447.049	14.006	161.796	113.391	545.091	118.427	2117.07	1941.73	4615.02	5698.95	93308.3	35194.4	88398.1	344.599	6.0011	0.00955092	inf	2.00012	11.0037	0	748.903	1.00003	0	8673.82	0	5.00125	2.00024	9.33025	95482.4	616.453	17587.5	149.743	2519	0	8.00195	12.011	3.00027	0	0	4.00049	15.0052	2.00012	1.00003	0	0	0	0	1.00003	1.00003	0	2629.1	741.53	3370.63	7.60973	3.5106	0.284852	
5	2	2.47411e+10	1.08743e+13	507290	11.0037	0	7.00076	217987	0	0	0	19.011	0	2.00012	0.368397	2.00037	2.00012	3.00034	6.00165	2.00024	0	4.00061	15.0063	4.00049	3.00027	2.00012	1.00003	1.00003	0	0	0	0	0	0	1.00003	4.00049	0	0.000505809	19.0033	1977.21	1.00003	1.00003	2.00006	75929.4	0	5.00125	9.00247	0	636.475	1.00003	0	1.00009	3.36639e-05	0	1.00003	0	4.00049	1.00003	0	110.25	12194.4	12804.1	29552.9	9210.98	12167	146.654	248.88	595.744	440.874	7.0015	170.888	162.806	545.061	121.449	2198.06	1991.3	4820.59	5877.62	92676.1	36186.8	89124.4	302.78	3.00027	0.00961117	5.00079	6.0011	9.00247	0	667.411	1.00003	0	9009.95	0	5.00198	1.00003	8.81255	94939.6	574.972	17424.3	133.429	8422.27	0	6.0011	10.0076	2.00012	0	0	1.00003	14.004	2.00031	0	0	0	0	0	1.00003	1.00003	0	2270.27	629.957	2900.23	8.8066	3.40161	0.293978	
6	2.5	3.09256e+10	1.35648e+13	509065	14.006	0	6.00061	221743	0	0	1.00009	13.0052	0	0	0.333297	2.00018	5.00198	4.00055	1.00003	1.00003	0	5.00101	17.0077	2.00012	4.00049	0	0	0	0	0	0	0	1.00003	0	0	1.00003	0	0.00178754	18.0038	2237.98	0	0	0	75066.8	0	4.00055	13.0052	0	595.389	1.00003	0	4.00049	4.44515e-05	0	3.00027	0	1.00003	0	1.00003	99.0815	12122.7	12868.2	28643	9153.76	12279	164.826	239.751	686.164	523.331	7.0015	134.551	129.511	623.912	127.495	2343.95	2050.07	4961.92	6079.59	94975.1	36771.2	89996.6	331.328	7.0015	0.00804464	1.00002	3.00027	2.00012	0	659.08	0	0	9355.94	1.00003	2.00061	1.00003	7.70478	94110	579.115	17243.2	329.44	6781.04	0	3.00027	10.0051	1.00003	1.00003	0	4.00049	8.00165	11.0042	0	0	1.00003	0	0	1.00003	0	0	2011.59	561.513	2573.1	9.22435	3.05211	0.327642	
7	3	3.71102e+10	1.6255e+13	509375	5.00076	0	4.00031	222406	0	0	0	7.0015	0	0	0.190454	3.00052	4.00049	1.00015	7.00217	3.00027	0	3.00046	15.0055	1.00003	3.00027	1.00003	0	0	0	0	0	0	0	0	0	0	0	0	21.0041	2260.46	0	0	0	75169	2.00006	6.00122	8.00195	0	644.92	0	0	0	3.3403e-05	0	3.00058	0	0	1.00003	2.00012	98.3896	12200.9	12651.5	29019.4	9235.68	12061.5	197.182	224.548	701.805	497.494	18.0099	163.816	141.61	639.435	133.543	2350.87	2106.84	5136.12	6154.9	95776.5	36809.2	89820.4	339.493	3.00027	0.00929193	inf	0	4.00049	0	596.736	0	0	9593.82	0	6.00177	2.00012	7.60649	94354.8	543.93	17194.2	99.4267	19152.4	0	0	6.00409	2.00012	0	0	2.00012	12.0042	7.00211	0	0	0	0	0	0	0	0	2033.09	528.461	2561.55	10.3143	3.40701	0.293512	
8	3.5	4.32948e+10	1.8945e+13	512117	9.00302	0	4.00031	224356	0	0	0	12.0044	1.00003	0	0.142835	6.00177	4.00043	5.00119	3.00064	8.00226	0	2.00012	16.0073	3.00027	1.00003	0	0	0	0	0	0	0	0	0	1.00003	0	0	0.000430907	28.0064	2320.9	0	0	0	74647.2	0	5.00076	12.0044	0	617.507	0	0	1.00009	1.1075e-05	0	3.00027	1.00009	0	1.00009	1.00003	96.6676	11946.5	12605.8	28870.3	9034.43	12190.2	160.786	247.877	709.122	549.124	5.00076	160.786	132.535	653.991	140.602	2380.91	2168.36	5334.33	6460.02	96784.5	37275.2	90296.2	324.186	4.00049	0.012067	5.00031	1.00003	7.0015	0	569.794	0	0	9883.6	0	6.00232	0	7.54054	94606.2	562.548	17500.8	94.929	10750.2	0	2.00012	12.0055	1.00003	0	0	6.0011	14.0065	3.00027	0	1.00003	0	0	0	0	0	0	2013.85	539.795	2553.64	11.3375	3.53434	0.282938	
9	4	4.94793e+10	2.16347e+13	511474	2.00012	0	2.00012	224045	0	0	0	12.0044	0	0	0.0869463	6.0011	4.00061	1.00009	3.00027	4.00073	0	5.00131	22.0139	2.00012	0	0	0	0	0	0	0	0	1.00003	0	0	1.00003	0	0	23.0041	2300.5	1.00003	0	0	74457.6	0	2.00024	15.0069	0	665.09	0	0	0	0	2.00012	3.00052	3.00027	0	0	1.00003	97.39	11848	12902.8	28465.2	9244.17	11997.4	165.836	304.825	719.676	482.02	11.0037	173.92	153.719	628.14	127.495	2572.84	2239.38	5459.43	6354.05	96422.3	37527.2	90096	337.451	11.0037	0.00999963	inf	6.0011	8.00244	0	574.972	0	0	10271.7	0	1.00046	0	7.73199	94925.4	581.187	17787.4	574.709	48208.2	0	5.00076	10.0044	2.00012	0	0	5.00076	12.0038	5.00107	0	0	1.00003	0	0	1.00003	0	1.00003	2165.07	599.848	2764.92	11.0511	3.76552	0.265568	
10	4.5	5.56639e+10	2.43242e+13	512488	8.00195	1.00003	5.00052	224662	0	0	0	10.0031	1.00003	0	0.166636	8.00305	3.00082	6.0014	7.00223	3.00064	0	3.00046	16.009	1.00003	4.00049	1.00003	0	0	0	0	0	0	0	0	0	0	0	0.000448936	30.0086	2227.55	0	0	0	74109.5	0	2.00012	8.00195	0	682.627	0	0	1.00003	4.4129e-05	0	3.00046	0	2.00012	1.00003	0	100.856	11618.5	12600.3	28615.8	9336.06	11938.7	189.117	217.436	721.655	526.363	6.0011	174.931	139.593	572.983	151.7	2686.73	2364.76	5704.06	6398.7	96922.1	37085.6	90654.5	368.103	3.00027	0.0134715	2.00006	1.00003	7.0015	0	547.031	1.00003	0	10755.5	0	1.00015	1.00003	8.34327	94821	637.233	18585.1	546.948	12112.3	1.00003	9.00247	12.006	2.00012	0	0	4.00049	18.0081	8.00195	0	0	0	0	0	0	0	0	2261.09	586.369	2847.46	11.6971	4.13338	0.241933	
