# Profile Smoothing is Disabled
#				total	Ag_3+	Ag_2+	Ag+	O+	Sn+	^119Sn+	^118Sn+	^117Sn+	^116Sn+	^122Sn+	^124Sn+	Sn_2+	CsI+	CsI_2+	Cs_2I+	Cs_2I_2+	Cs_3I_2+	Cs_4I_3+	Cs_5I_4+	Si+	C_6H_5+	C_6H_3+	CH_4O+	CH_5O+	C_6H_4O+	C_81H_68N_4O_8+	C_60+	C_70+	C_26H_20N_2+	C_26H_21N_2+	^13CC_25H_21N_2+	C+	C_2+	C_3+	C_4+	C_5+	^13CH_5N_2+ / ( Pb+ )	PNI_2+	Cs_2PO_3+	Cs_2PO_2+	Cs+	Cs_2+	C_2H_10N_4I+	CH_5N_2+	^13CH_5N_2+	CH_3NH_3+	^13CH_3NH_3+	C_2H_6N_2H_6+	Pb+	^207Pb+	^206Pb+	^204Pb+	Pb_2+	Pb_3+	Cs_2F+	Sn+ / ( Pb+ )	Cs_3I_2+ / ( ^13CH_5N_2+ )	Cs_2+ / ( ^13CH_5N_2+ )	CH_3+	NH_3+	CH_4N+	CH_3N+	CH_2N+	CH_4N_2+	CH_3N_2+	^13CH_3+	CH_3NH_2+	CH_3NH+	PbI+	^207PbI+	^206PbI+	^204PbI+	Pb_2I+	Pb_2I_2+	Pb_2I_3+	Pb_3I+	Pb_3I_2+	Pb_3I_3+	Pb_3I_4+	Pb_3I_5+	In+	^113In+	InO+	^113InO+	In_2+	^113InIn+	InO_2+	In_2O+	In_2O_2+	In_3O+	In_3O_2+	In_4O_3+	Sn_2O+	SnInO+	SnIn_2O+	SnIn_2O_2+	SnO+	SnO+	I+	I+ / ( Pb+ )	Au+	Au_2+	Au_3+	Au_4+	Au_5+	
#				N/A	320.7077	213.8057	106.9038	15.9945	119.8994	118.9011	117.8989	116.9002	115.8981	121.9006	123.9025	239.8055	259.8114	386.7136	392.7407	519.6274	652.5560	912.3565	1172.1645	27.9766	77.0466	75.0245	32.0293	33.0300	92.0309	1224.5536	719.9936	839.9904	360.1523	361.1996	362.1873	11.9994	23.9994	35.9993	47.9991	59.9992	N/A	298.7851	344.7821	328.7876	132.9082	265.8091	217.0160	45.0479	46.0473	32.0473	33.0495	64.0992	207.9761	206.9748	205.9735	203.9709	415.9498	623.9266	284.8228	N/A	N/A	N/A	15.0237	17.0269	30.0349	29.0265	28.0194	44.0381	43.0300	16.0262	31.0418	30.0348	334.8854	333.8854	332.8842	330.8847	542.8569	669.7604	796.6680	750.8147	877.7139	1004.6208	1131.5214	1258.4241	114.9049	112.9059	130.8955	128.8996	229.8069	227.8038	146.8980	245.8079	261.7986	360.7091	376.7071	507.5935	255.8108	250.8027	365.7022	381.7039	135.9143	135.8979	126.9149	N/A	196.9602	393.9246	590.8874	787.8439	984.8064	
#Data Point #	Sputter Time (s)	Dose (ions)	Fluence (ions/cm^2)	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
1	0	2.78034e+06	1.11213e+11	1.35247e+06	15.0149	22.026	12.0147	3.00027	56.1067	85.2429	50.0985	64.1322	44.0697	38.0617	47.0748	23.0275	36.0445	26.0336	22.0229	19.0448	817.563	40.0471	14.0064	459.666	1940.69	1408.06	1.00846	9.00339	545.842	6.00122	11.0082	12.0122	135.54	1014.29	336.728	48.0734	1.00101	3.00064	12.0155	108.525	0.164063	26.0255	5.00357	18.0152	3403.47	35.0653	280.46	3694.94	5666.88	103301	6054.72	657.228	34540.9	16227.3	16920.1	1524.45	112.408	16.0122	24.0243	0.00162436	0.14427	0.00618777	24359.2	1444.34	34192.9	3007.69	4246.37	16632.4	5637.71	272.733	6739.44	34438.7	12033.2	4850.42	5528.6	338.599	1059.91	2357.75	6887.25	81.2335	77.194	130.538	27.0223	108.359	9645.28	517.845	74.1853	112.413	26.034	22.024	80.2329	25.037	13.0116	20.0194	13.0107	187.481	28.0367	114.73	19.022	12.0054	28.041	26.0377	318.242	0.0092135	125.735	27.0339	9.00486	20.028	20.0124	
2	0.5	6.21863e+09	2.81748e+12	1.03274e+06	9.00394	5.00315	13.0111	0	39.0532	40.0555	20.0184	42.0586	39.0527	22.02	15.0105	14.012	20.0137	17.0137	27.0281	9.00901	893.364	48.0594	7.0018	325.266	1093.84	890.689	0	4.00061	334.126	7.0018	3.00156	14.0093	75.1739	456.914	179.07	47.0704	2.00098	1.00009	9.0029	65.1802	0.296714	5.00198	2.00024	9.00632	3691.07	26.0347	177.014	2428.05	6934.68	110797	4860.06	895.925	23371.6	10416.6	11361.9	1046.07	139.626	15.0101	19.0115	0.00167097	0.128826	0.00375427	34783.2	1965.02	37801.8	2610.5	3653.45	10900.6	3572.13	363.98	8833.19	38010	12523	5071.37	5953.92	333.388	1385.56	2694.23	7357.77	89.2646	89.2523	162.814	30.0296	107.364	4486.94	235.943	56.0974	47.0719	15.0097	18.0131	46.0654	14.008	7.00302	9.0043	14.0071	32.0807	17.0135	58.2172	7.00308	12.0091	17.0111	12.0067	558.747	0.0239071	74.2964	14.0105	8.00421	9.00467	6.00177	
3	1	1.24344e+10	5.52337e+12	974772	6.00214	1.00027	8.00415	0	20.0151	30.0297	17.0098	23.0176	16.0117	14.0088	20.0154	7.00278	17.0096	9.00455	36.0451	7.00528	967.289	29.0248	4.00085	267.241	796.419	620.67	0	3.00027	258.582	2.00012	2.00037	7.00357	52.0853	358.3	139.651	37.0418	1.00034	2.00012	2.00061	52.1173	0.407819	9.00473	3.00156	8.00403	4010.1	21.0282	144.61	2162.31	9301.36	148724	4791.58	910.435	22807.6	10189.4	10979.1	981.056	161.8	31.0404	12.006	0.000877566	0.103994	0.00226077	37473.1	2091.6	37135.1	2230.34	3366.24	8955.37	2730.09	400.88	9691.11	37285.5	13559.8	5632.87	6454.74	354.899	1606.22	3099.93	7917.13	101.346	101.316	198.219	46.0652	128.527	3096.85	160.855	44.0638	42.0565	11.0063	12.0062	35.0481	10.0076	8.00531	5.00119	5.00131	15.0178	13.0072	29.0592	7.00388	10.0052	18.0144	17.0133	696.066	0.0305191	60.2125	14.0086	5.00192	6.00269	8.00171	
4	1.5	1.86502e+10	8.22888e+12	951761	6.00183	5.0018	3.00119	1.00003	33.0401	24.0241	19.015	24.0215	18.0122	18.0125	12.0051	10.0057	25.0246	9.00314	32.0438	13.0118	996.181	43.0511	9.00229	293.746	763.956	593.978	0	6.0011	255.576	5.00082	6.00183	14.0097	61.118	343.937	113.452	29.0257	2.00196	2.00012	3.00089	46.0897	0.472358	10.0055	4.00153	10.0051	4244.96	18.0189	140.65	2189.04	10894.6	136741	4617.99	939.144	23064.3	10324.4	11208.9	1078.98	150.709	26.0271	11.0038	0.00143252	0.091438	0.00165393	38755.6	2191.83	37965	2250.37	3322.65	8927	2576.53	402.055	9761.28	38161.7	14579.5	5990.02	6710.9	371.236	1763.37	3059.11	8249.71	114.426	113.4	163.818	47.068	128.521	2865.6	168.967	34.0366	32.0347	13.008	7.00241	33.0409	14.0095	8.00238	8.00244	4.00104	19.0234	7.00333	38.0744	12.0044	9.00314	7.00247	7.00247	765.074	0.0331714	53.1331	13.0082	1.00095	3.00101	8.00336	
5	2	2.4866e+10	1.0934e+13	941390	2.00024	12.0055	14.0115	2.00012	18.0112	31.0321	23.0193	19.0121	20.0161	11.0054	19.0138	10.004	17.0109	13.0077	34.046	5.00296	1004.3	33.0293	2.00012	298.782	715.323	582.703	0	3.00027	225.12	7.00162	2.00012	6.00165	39.0514	278.715	100.346	28.024	2.00073	1.00015	9.004	51.0988	0.522283	2.00073	3.00082	6.00311	4419.98	13.0056	138.622	2454.62	12215.5	118555	4706.72	972.863	23388.7	10514.8	11487.2	1068.3	195.169	14.008	14.0067	0.000770082	0.082215	0.00106468	40425.7	2079.11	38658.9	2333.85	3409.97	9479.64	2526.64	434.003	9700.94	38884.3	14892.6	6226.06	7108.73	379.357	1670.08	3140.54	8373.72	93.2962	105.352	205.363	40.0548	130.542	2707.02	123.488	30.0299	33.0349	5.00137	13.0068	31.0355	6.00171	7.00253	7.00247	6.00238	11.0109	8.00342	34.0689	4.00134	7.00296	16.0112	13.0085	835.585	0.035726	67.2086	14.0075	4.00049	9.00314	6.00165	
6	2.5	3.10817e+10	1.36388e+13	954355	5.00119	12.0068	7.00431	0	22.0177	35.0401	15.0107	15.0109	19.0134	19.0118	17.0097	15.0093	19.0123	14.0075	29.0317	10.0093	968.682	32.0319	4.00061	260.186	726.181	565.934	0	4.00073	236.186	6.0011	5.00137	3.00027	39.0508	274.506	98.3508	28.0257	2.00122	2.00012	9.00486	35.0718	0.591963	5.00315	2.00067	8.00311	4513.14	14.0087	140.651	2425.92	14116	128173	4725.72	1039.51	23846	10468.8	11620.7	1043.91	164.869	16.012	5.00107	0.000923325	0.0686231	0.000992398	39737.9	2276.2	37940.8	2343.99	3323.95	9827.19	2473.84	445.954	10271.3	38142.9	15109.9	6195.08	7387.78	432.776	1792.56	3374.8	8514.69	108.39	108.371	177.992	43.0584	134.571	2495.57	116.47	29.0267	35.0401	12.0056	8.00256	33.045	12.0078	14.0079	4.00128	5.00095	11.017	13.0059	43.0857	2.00043	5.00113	4.00147	4.00147	836.773	0.0350906	71.2497	12.0065	7.00461	8.00446	7.00168	
7	3	3.72974e+10	1.63432e+13	941307	3.00089	12.0079	8.00342	5.00076	14.0076	23.0183	13.0063	18.0122	24.0226	8.00311	16.0079	10.0048	23.0217	9.00314	30.0417	8.008	936.636	32.0254	4.00067	272.323	701.773	582.541	0	2.00024	223.816	3.00046	4.00122	6.00281	43.0574	215.625	109.392	25.0191	4.00293	4.00049	2.00061	48.0969	0.641246	3.00113	3.00089	4.00079	4670.62	14.0081	148.737	2414.79	15190.5	111350	4612.69	1053.75	23689.1	10542.9	11924.4	1073.75	197.194	20.0161	10.0051	0.000591309	0.0616591	0.00092216	40820.7	2246.52	39591.3	2304.07	3250.94	10066.2	2470.34	443.449	10162	39829.8	15514.1	6556.98	7472.97	451.223	1897.4	3437.76	8739.22	111.406	119.448	197.172	58.1061	157.774	2499.19	118.457	27.0238	33.0384	11.0056	15.0081	32.0339	8.00311	9.00406	4.00061	1.00003	12.0163	12.0065	43.102	12.0056	5.00082	10.0046	8.00348	863.031	0.0364315	74.2264	8.00385	11.0094	9.00553	8.00336	
8	3.5	4.35131e+10	1.90472e+13	962781	2.00073	12.0089	8.00403	0	14.0083	26.0208	21.0144	13.0059	22.0167	15.0096	16.0108	13.0074	7.0029	10.004	36.0474	5.00284	955.581	26.0184	1.00009	260.095	711.379	539.094	0	3.00046	222.757	2.00018	5.0015	6.00305	52.0881	258.174	86.272	24.0176	6.00623	0	8.00379	56.1263	0.673712	7.00259	5.00235	6.00183	4705.84	19.0161	148.691	2611.91	16640.4	126855	4688.4	1008.22	24699.5	10739.6	12143.9	1077.1	199.242	18.012	9.00314	0.000567149	0.0574254	0.00114277	40000.3	2270.01	40562.9	2293.56	3336.04	10471.1	2459.6	447.234	10191.4	40798.5	16130.3	6636.59	7881.52	434.786	1906.37	3479.08	8733.79	110.403	145.672	204.278	44.0613	134.568	2325.47	113.458	27.0247	37.0478	13.0064	7.00278	38.0624	9.00351	10.0045	7.00156	5.00119	16.0202	8.00348	40.0808	3.00058	6.00189	14.0097	12.0084	917.624	0.0371515	54.1249	9.00473	8.00446	5.00137	8.00275	
9	4	4.97287e+10	2.17508e+13	972978	7.00247	4.00232	7.00351	0	20.0149	21.0172	21.0157	19.0117	18.0116	10.0047	17.0112	4.00128	25.0236	12.006	33.0388	1.00003	897.681	37.0294	8.0022	263.188	665.265	542.218	0	4.00049	256.386	2.00012	3.0004	10.0035	36.0447	237.937	90.2664	26.0207	2.00159	0	4.00238	50.0913	0.715189	6.00336	2.00049	4.00244	4874.81	14.0081	154.764	2568.19	18157.8	134893	4563.73	1045.69	25388.8	11126.7	12352.7	1106.56	189.116	11.008	12.0069	0.000788337	0.0494379	0.000771467	41202.7	2283.81	39855.3	2204.6	3271.16	10393.3	2412.77	438.911	10206.8	40034.7	16999.8	6985.29	8149.57	473.787	1935.79	3637.44	8793.66	122.474	116.412	238.76	37.0455	143.656	2329.54	107.403	28.0244	38.0484	4.00067	9.00382	21.0171	9.0029	8.00275	2.00049	7.0018	8.01063	10.0059	44.1018	7.0018	4.00134	12.0059	10.0046	965.652	0.0380346	63.1757	13.007	7.00492	10.0064	4.00079	
10	4.5	5.59443e+10	2.4454e+13	956464	6.00147	8.00385	5.00211	0	25.0204	29.0327	10.0043	30.0302	14.0064	12.0054	17.0099	11.0057	27.0278	15.0081	29.0319	5.00229	976.87	19.0118	0	273.418	629.429	535.885	0	4.00079	206.753	4.00055	8.00195	8.00452	47.0679	214.542	86.2689	26.0207	3.00192	1.00009	7.00363	38.0657	0.760906	6.00183	1.00034	5.00272	4973.2	18.0186	145.672	2834.4	19581.7	115363	4339.13	1043.48	25734.8	11311.6	12687	1089.7	187.125	26.028	7.00235	0.00097224	0.0498868	0.000920175	41302	2362.04	39527.6	2380	3313.63	10876.3	2383.37	443.812	10239.6	39689	17162.9	7051.7	8092.61	457.381	1952.73	3656.39	9147.86	123.484	138.599	196.191	39.0483	152.731	2278.2	112.461	30.0303	47.0724	5.00205	8.00336	30.0328	10.0057	2.00055	5.00107	5.00156	11.0081	11.0041	41.0982	8.00458	9.00437	7.00314	6.00275	1016.55	0.0395011	67.2081	9.00272	7.00296	5.00192	4.00263	
